#,Mod名,mod_id,jar,版本,作者,仓库,置信,依据,其他候选,已反编译,代码行数,卡片
1,1u6JkXh5,worldedit,1u6JkXh5-gjsLvJfW.jar,7.4.3+7515-78babeb,EngineHub,https://github.com/EngineHub/WorldEdit,高,jar 元数据声明,,Y,203818,1u6JkXh5-gjsLvJfW.md
2,AAA Particles,aaa_particles,aaa_particles-neoforge-26.1.2-2.2.4-alpha.1.jar,2.2.4-alpha.1,", ChloePrime",https://github.com/ChloePrime/AAAParticles,高,Modrinth（aaa-particles）,,Y,5631,aaa_particles-neoforge-26.1.2-2.2.4-alpha.1.md
3,AAA Particles: World,aaa_particles_world,aaa_particles_world-neoforge-26.1.2-2.0.1-alpha.4.jar,2.0.1-alpha.4,", ChloePrime",https://github.com/ChloePrime/AAA-Particles-World,高,Modrinth（aaa-particles-world）,,Y,1587,aaa_particles_world-neoforge-26.1.2-2.0.1-alpha.4.md
4,ae2,ae2,appliedenergistics2-26.1.10-beta.346110f2.jar,26.1.10-beta,Team AppliedEnergistics,https://github.com/AppliedEnergistics/Applied-Energistics-2,高,jar 元数据声明,,Y,119051,appliedenergistics2-26.1.10-beta.346110f2.md
5,AnvilLib,anvillib,anvillib-neoforge-26.1-2.0.0+snapshot.494.jar,2.0.0+snapshot.494,Gugle,https://github.com/Anvil-Dev/AnvilLib,高,jar 元数据声明,,Y,19,anvillib-neoforge-26.1-2.0.0+snapshot.494.md
6,Arcanism,programmable_magic,programmable_magic-0.1.3.jar,0.1.3,,https://github.com/creepebucket/programmable_magic,中,jar 内文档,,Y,14850,programmable_magic-0.1.3.md
7,AreaControl NeoForge 26.1,area_control,AreaControl-NeoForge-26.1-0.9.17.jar,0.9.17,"3TUSK, Burning_TNT (Migrate to NeoForge 1.21)",https://github.com/teaconmc/AreaControl,高,组织仓库,,Y,5611,AreaControl-NeoForge-26.1-0.9.17.md
8,auth me,authme,auth-me-sgiODmNN.jar,9.2.1+26.1,axieum,https://github.com/axieum/authme,高,jar 元数据声明,,Y,1447,auth-me-sgiODmNN.md
9,Baihao NeoForge 26.1,baihao,Baihao-NeoForge-26.1-1.0.8.jar,1.0.8,,https://github.com/teaconmc/Baihao,高,组织仓库,,Y,6395,Baihao-NeoForge-26.1-1.0.8.md
10,Bakeries,bakeries,bakeries-1.0.0.jar,1.21.1-NeoForge-1.0.0,"Renyigesai,1-weibai-1",https://github.com/Renyigesai/bakery,高,Modrinth（bakeries-renyigesai）,,Y,13593,bakeries-1.0.0.md
